Date,Store,Type,Total
2023-12-20,cruz verde,healthcare,16600.0
2024-07-02,cruz verde,healthcare,20378.0
2024-01-31,d1,groceries,169450.0
2023-11-12,d1,groceries,8380.0
2023-11-04,d1,groceries,43910.0
2025-03-09,d1,groceries,15260.0
2023-10-28,d1,groceries,37910.0
2023-10-21,d1,groceries,120630.0
2024-06-08,d1,groceries,1750.0
2024-02-07,d1,groceries,88750.0
2023-11-15,d1,groceries,15520.0
2024-01-04,farmatodo,groceries,13790.0
2024-10-16,d1,groceries,69170.0
2024-07-11,jumbo,groceries,5190.0
2024-07-07,jumbo,groceries,9280.0
2024-06-22,jumbo,groceries,22590.0
2024-06-17,jumbo,groceries,35322.0
2024-06-16,jumbo,groceries,7550.0
2024-06-07,jumbo,groceries,25582.0
2024-06-04,jumbo,groceries,67010.0
2024-03-14,jumbo,groceries,227953.0
2024-02-22,jumbo,groceries,32020.0
2024-02-18,jumbo,groceries,9642.0
2023-11-02,jumbo,groceries,64150.0
2024-07-16,jumbo,groceries,36330.0
2023-12-23,jumbo,groceries,45070.0
2024-11-11,jumbo,groceries,51818.0
2023-10-28,jumbo,groceries,56450.0
2024-11-21,jumbo,groceries,10900.0
2024-11-21,jumbo,groceries,33385.0
2023-10-23,jumbo,groceries,15990.0
2024-11-22,jumbo,groceries,39030.0
2024-11-26,jumbo,groceries,2800.0
2024-11-24,jumbo,groceries,167672.0
2025-03-03,fruver,groceries,12700.0
2024-07-09,fruvar,groceries,20689.0
2024-09-02,fruvar,groceries,52444.0
2025-02-19,jumbo,groceries,967.0
2024-07-20,jumbo,groceries,41477.0
2024-07-23,jumbo,groceries,41180.0
2024-08-20,jumbo,groceries,22240.0
2024-12-06,mercados de boyaca,groceries,74840.0
2023-12-08,jumbo,groceries,4290.0
2023-12-02,jumbo,groceries,9756.0
2023-11-26,jumbo,groceries,9908.0
2023-12-10,jumbo,groceries,10182.0
2023-12-13,jumbo,groceries,22680.0
2023-11-25,jumbo,groceries,24680.0
2023-11-13,jumbo,groceries,30028.0
2023-11-14,jumbo,groceries,14774.0
2023-12-27,jumbo,groceries,57254.0
2023-12-30,jumbo,groceries,57178.0
2024-01-01,jumbo,groceries,4600.0
2024-10-24,jumbo,groceries,10790.0
2023-11-21,jumbo,groceries,34366.0
2024-01-16,jumbo,groceries,27630.0
2024-02-03,jumbo,groceries,172816.0
2024-11-30,jumbo,groceries,303540.0
2024-02-05,jumbo,groceries,51748.0
2024-02-07,jumbo,groceries,27640.0
2025-01-02,jumbo,groceries,37990.0
2025-03-03,jumbo,groceries,5180.0
2024-12-13,jumbo,groceries,39450.0
2024-10-05,jumbo,groceries,31000.0
2024-10-01,jumbo,groceries,207910.0
2024-08-23,jumbo,groceries,14110.0
2024-07-16,fruvar,groceries,73595.0
2024-07-13,fruvar,groceries,1664.0
2024-10-27,fruvar,groceries,6400.0
2024-10-15,fruvar,groceries,16976.0
2023-12-05,d1,groceries,23550.0
2023-12-02,d1,groceries,18670.0
2023-12-08,d1,groceries,13520.0
2023-12-10,d1,groceries,27790.0
2023-12-11,d1,groceries,34210.0
2023-12-16,d1,groceries,23650.0
2023-12-03,d1,groceries,35410.0
2023-11-19,d1,groceries,12630.0
2023-11-05,d1,groceries,25460.0
2023-12-18,d1,groceries,69160.0
2024-01-07,d1,groceries,39150.0
2024-01-27,d1,groceries,26470.0
2024-01-26,d1,groceries,16380.0
2024-01-15,d1,groceries,15880.0
2024-01-14,d1,groceries,13690.0
2024-01-13,d1,groceries,39000.0
2024-01-09,d1,groceries,36650.0
2024-01-06,d1,groceries,14430.0
2023-12-22,d1,groceries,10520.0
2024-01-03,d1,groceries,3990.0
2023-12-30,d1,groceries,23630.0
2023-12-29,d1,groceries,39960.0
2023-12-27,d1,groceries,13430.0
2023-12-23,d1,groceries,35870.0
2023-11-16,d1,groceries,30210.0
2023-11-23,d1,groceries,6340.0
2023-10-29,d1,groceries,9040.0
2023-11-25,d1,groceries,12030.0
2024-10-02,dollarcity,groceries,29000.0
2024-07-08,fruvar,groceries,2258.0
2024-11-24,fruvar,groceries,67655.0
2024-10-26,fruvar,groceries,9165.0
2024-07-05,fruvar,groceries,16155.0
2024-06-22,fruvar,groceries,2358.0
2024-06-17,fruvar,groceries,37470.0
2024-10-26,fruvar,groceries,30931.0
2024-06-24,fruvar,groceries,19954.0
2023-10-13,fruvar,groceries,77081.0
2024-06-01,fruvar,groceries,2157.0
2023-12-16,fruvar,groceries,2112.0
2024-02-12,fruvar,groceries,10156.0
2024-01-20,farmatodo,groceries,18100.0
2024-05-18,farmatodo,groceries,4200.0
2024-01-25,farmatodo,groceries,16600.0
2024-02-24,farmatodo,groceries,7100.0
2024-11-11,farmatodo,groceries,49850.0
2024-01-13,farmatodo,groceries,25800.0
2023-12-28,farmatodo,groceries,6640.0
2023-12-01,farmatodo,groceries,8450.0
2024-12-05,exito,groceries,9190.0
2023-10-27,exito,groceries,82500.0
2023-12-02,exito,groceries,3100.0
2024-06-22,dollarcity,groceries,12000.0
2024-06-11,dollarcity,groceries,64400.0
2023-11-18,dollarcity,groceries,52000.0
2023-11-26,d1,groceries,22820.0
2024-07-28,d1,groceries,17100.0
2024-11-11,ara,groceries,19780.0
2025-03-12,ara,groceries,21944.0
2024-11-12,agua,groceries,40500.0
2024-11-30,ara,groceries,143415.0
2024-11-09,ara,groceries,29158.0
2024-08-01,bacu,restaurant,51600.0
2024-11-24,ara,groceries,121559.0
2024-12-03,agua,groceries,27000.0
2024-10-16,ara,groceries,126982.0
2025-03-04,agua,groceries,28000.0
2024-10-24,ara,groceries,18144.0
2024-10-25,ara,groceries,5750.0
2024-10-25,ara,groceries,8766.0
2024-10-26,ara,groceries,6540.0
2025-02-02,ara,groceries,7780.0
2024-10-01,ara,groceries,201336.0
2024-11-07,verona,snack,31000.0
2024-10-23,ara,groceries,26691.0
2024-10-16,agua,groceries,54000.0
2023-12-29,tostao,snack,23100.0
2025-03-06,ara,groceries,7030.0
2025-01-26,ara,groceries,7090.0
2023-12-17,carulla,groceries,11200.0
2024-12-15,ara,groceries,72705.0
2024-12-17,pricesmart,groceries,77400.0
2023-12-26,carulla,groceries,6700.0
2024-07-14,carulla,groceries,101255.0
2024-01-01,carulla,groceries,20800.0
2023-12-25,carulla,groceries,17400.0
2024-11-08,mercadolibre,gift,376510.0
2024-09-06,american eagle,gift,375840.0
2024-10-16,h&m,clothing,24900.0
